Team,Match,Match Type,No Show,A Start Pos,A High,A Low,A Missed,A Ball,A Hot,A Mobility,A Goalie Block,High,Low,Truss,Catch,Pickup,High Missed,Shots Blocked,Foul,Tech Foul,Truss to HP,Played D,HP Load,Stuck,Dead
"4508","001","Qualification","No","Center","0","0","0","No","No","Yes","No","0","1","1","0","3","0","0","0","0","No","No","No","No","No"
"250","001","Qualification","No","Right","0","0","1","Yes","No","Yes","No","1","0","0","0","2","1","0","0","1","No","Yes","No","No","No"
"1155","001","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"4930","001","Qualification","No","Left","0","0","1","Yes","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"3951","001","Qualification","No","Center","0","0","1","No","No","Yes","No","0","1,2","0","0","0","0","0","0","0","No","No","No","No","No"
"3003","001","Qualification","No","Right","1","0","0","No","Yes","Yes","No","2","0","0","0","2","0","0","0","0","No","Yes","No","No","No"
"1126","002","Qualification","No","Right","1","0","1","Yes","No","No","No","4","0","3","0","5","0","0","0","0","No","No","Yes","No","No"
"2340","002","Qualification","No","Left","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"3157","002","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","Yes","No"
"1507","002","Qualification","No","Left","1","0","0","Yes","Yes","Yes","No","1,2,3","0","1","0","1,2,3,4","0","0","0","0","No","Yes","No","No","No"
"2265","002","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","Yes"
"3015","002","Qualification","No","Right","1","0","0","Yes","No","Yes","No","0","1","1,2,3","0","0","0","0","0","0","No","No","No","No","Yes"
"3838","003","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","Yes"
"3181","003","Qualification","No","Left","0","0","1","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"174","x03","Qualification","No","Right","0","0","1","Yes","No","Yes","No","0","1,3","0","0","1,2,4","0","0","0","0","No","No","No","No","No"
"1511","003","Qualification","No","Right","1","0","0","Yes","Yes","Yes","No","1","2","0","0","5","0","0","0","0","No","Yes","No","No","No"
"3017","003","Qualification","No","Left","0","0","1","Yes","No","Yes","No","0","2","0","0","0","0","0","0","0","No","No","No","No","No"
"1551","003","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","3","0","2","0","0","0","0","No","Yes","No","No","No"
"578","004","Qualification","No","Left","0","0","1","No","No","No","No","0","1","1,2","0","1,2","0","0","0","0","No","Yes","Yes","No","No"
"1405","004","Qualification","No","Center","0","0","0","No","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"340","004","Qualification","No","Right","0","0","1","No","No","Yes","No","0","1,2","0","0","0","0","0","0","0","No","Yes","No","No","No"
"1450","004","Qualification","No","Left","0","0","1","No","No","Yes","No","0","2","0","0","0","0","0","0","0","No","No","No","No","No"
"73","004","Qualification","No","Right","0","0","0","Yes","No","Yes","No","0","2","0","0","0","0","0","0","0","No","Yes","No","No","No"
"5240","xxx","none","No","Center","0","0","1","No","No","No","No","0","0","0","0","0","0","0","0","0","No","No","No","No","No"
"2228","005","Qualification","No","Right","1","0","0","No","Yes","Yes","No","0","1","2","0","2","0","0","0","0","No","Yes","No","No","No"
"3173","005","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","1","0","0","0","0","No","Yes","Yes","No","No"
"334","005","Qualification","No","Left","0","0","2","Yes","No","No","No","1","2","0","0","4","1","0","0","0","No","Yes","No","No","No"
"2791","005","Qualification","No","Left","1","0","0","Yes","Yes","Yes","No","0","0","1","0","1","0","1","0","0","No","Yes","No","No","No"
"1591","005","Qualification","No","Center","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"3044","004,5","Qualification","No","Right","0","0","1","No","No","Yes","No","0","1,2,3","0","0","1,2,3,4,5","1","0","0","0","No","No","No","No","No"
"2809","006","Qualification","No","Right","0","0","1","Yes","No","No","No","0","3","0","0","3","0","0","0","0","No","Yes","No","No","No"
"1585","006","Qualification","No","Left","0","0","0","Yes","No","Yes","No","0","0","0","0","1","0","0","0","0","No","No","No","No","Yes"
"639","006","Qualification","No","Left","1","0","0","Yes","No","Yes","No","1,2,3","1","1","1","1,2,3","0","0","0","0","Yes","No","Yes","No","No"
"5349","006","Qualification","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","No"
"Matai I","0,10,17","Elimination","Yes","Goalie,Left,Center","1","0","0","No","No","No","No","1,2,3,4,6,7,8,9","1,2,3,4,5,6","1,2,3,4,5,6,7,9","1,2,3,4,5,6","1,2,7,8,9","0","2,3,4","0","0","No","No","Yes","No","No"
"5254","005,6","Practice,Qualification","No","Right","0","1,2","1","Yes","No","Yes","No","0","0","0","0","0","0","0","0","0","No","Yes","No","No","Yes"
"20","007","Qualification","No","Right","1","0","1","Yes","Yes","No","No","2,3","1","0","1","1","0","0","1","0","Yes","Yes","Yes","No","No"
"4093","007","none","No","Goalie","0","0","0","No","No","No","No","0","0","0","0","1","0","0","0","0","No","No","No","No","No"
