Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
-1	72	2	0	1	0	0	6	0	0	8	5	0	0	0	0	0	1	1	0	1	0	0
229	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
2791	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1126	1	0	0	0	0	1	4	0	0	0	0	0	0	0	4	0	0	0	1	1	0	0
20	1	2	0	0	0	0	0	0	0	1	0	0	0	0	3	3	0	0	1	0	0	0
3193	1	1	0	0	0	0	1	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0
3687	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
358	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1708	3	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	1	0	0
5030	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
340	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0
5236	2	0	1	0	0	0	2	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0
174	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
3044	3	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	1	1	0	0
3990	4	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0
250	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2228	4	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	1	0	0
145	4	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0
2791	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3193	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	1	0	0
229	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
1126	5	0	0	0	0	1	2	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0
3687	5	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0
20	5	0	1	0	0	1	0	0	0	0	1	0	0	0	3	3	0	0	0	1	0	0
5030	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1708	7	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0
340	7	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0
870	7	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0
5236	7	1	0	0	0	0	1	0	0	1	1	0	0	0	3	0	1	0	1	1	0	0
3990	8	0	1	0	0	0	0	0	0	4	0	0	0	0	3	0	1	0	0	1	0	0
2228	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
3044	8	1	0	0	0	0	0	0	0	1	0	0	0	0	3	2	1	0	1	1	0	0
250	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
174	8	0	0	0	0	1	3	0	0	0	0	0	0	0	4	1	1	0	1	1	0	0
145	8	0	0	0	0	1	3	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0
250	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
145	9	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0
174	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3990	10	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0
