Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcHPLoad	EtcGoalie	EtcGoalieBlock
4508	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0
250	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	1	0	1	0	0	0
1155	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
4930	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3951	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
3003	1	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	0	0	0
1126	2	0	1	0	0	1	3	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0
2340	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3157	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
1507	2	1	0	0	0	0	1	0	0	3	0	0	0	0	4	0	1	0	1	0	0	0
2265	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
3015	2	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
3838	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3181	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
174	3	0	0	0	0	1	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0
1511	3	1	0	0	0	0	0	0	0	1	0	0	0	0	5	2	1	0	1	0	0	0
3017	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
1551	3	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
578	4	0	0	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0
1405	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
340	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0
1450	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
73	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0
5240	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2228	5	1	0	0	0	0	2	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0
3173	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
334	5	0	0	0	0	2	0	0	0	1	1	0	0	0	4	2	0	0	1	0	0	0
2791	5	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
1591	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3044	5	0	0	0	0	1	0	0	0	0	1	0	0	0	5	3	1	0	0	0	0	0
2809	6	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	0	1	0	0	0
1585	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
639	6	0	1	0	0	0	0	1	0	3	0	0	0	0	3	1	1	0	0	1	0	0
5349	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
20	7	1	0	0	0	1	0	0	0	3	0	0	0	0	1	1	0	0	1	1	0	0
4093	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
3799	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
1592	7	0	2	0	0	0	3	0	0	2	0	0	0	0	3	0	0	0	1	1	0	0
1518	7	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
191	7	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
801	8	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0
378	8	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0
341	8	1	0	0	0	0	4	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0
743	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
1765	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
1493	8	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0
1507	9	0	1	0	0	0	2	0	0	3	0	0	0	0	4	1	1	0	1	0	0	0
3017	9	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
4930	9	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	0	1	0	0	0
4508	9	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
1155	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1559	9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
