Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
5236	1	1	0	0	0	0	0	0	0	2	1	0	0	0	3	1	1	0	0	0	0	0
3059	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
250	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
5149	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3015	1	0	1	0	0	0	2	0	0	3	1	0	0	0	5	0	0	0	0	0	0	0
3687	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
229	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
3936	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3044	2	0	0	0	0	1	0	0	0	2	0	0	0	0	3	2	1	0	0	0	0	0
174	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1511	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0
379	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0
2791	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0
4134	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
1493	3	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0
3003	3	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0
1708	4	0	0	0	0	0	0	0	0	1	2	0	0	1	3	0	1	0	0	0	0	0
2053	4	0	0	0	0	1	0	0	0	1	2	0	0	0	3	0	1	0	0	1	0	0
578	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
5030	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
20	4	0	0	0	0	2	1	0	0	4	0	0	0	0	2	0	1	0	1	1	0	0
2911	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
4508	5	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0
116	5	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
870	5	0	0	0	0	1	0	0	0	2	1	0	0	0	2	1	1	0	0	1	0	0
53	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
527	5	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
340	5	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0
4975	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4203	6	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0
145	6	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	1	0	0
3193	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3990	6	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	1	1	0	0
358	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0
1665	7	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	0
4122	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
3059	7	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
2228	7	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0
1126	7	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
1511	7	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0
4508	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
229	8	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
53	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
3687	8	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
2791	8	0	0	0	0	1	3	0	0	0	0	0	0	0	9	2	1	0	0	0	0	0
379	8	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0
5149	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
5030	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
340	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
4975	9	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2053	9	0	0	0	0	1	1	0	0	1	1	0	0	0	4	2	1	0	0	0	0	0
1493	9	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0
1126	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
4122	3	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
3003	10	0	0	0	0	1	1	0	0	3	2	0	0	0	4	0	1	0	0	1	0	0
358	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
